# BAND-MAID youtube snapshot date: 2025-12-09
Title	Date	URL	Song	Views	Type	Duration
BAND-MAID / Blooming (Official Music Video)	2019-12-09	https://youtu.be/uUt_JBMocKM	Blooming	3644454	Official Music Video	3:57
BAND-MAID / secret My lips (Official Music Video)	2017-03-25	https://youtu.be/1Vuca7V-5Ec	secret My lips	3463364	Official Music Video	4:24
BAND-MAID / Before Yesterday  (Official Music Video)	2016-06-24	https://youtu.be/Zuj_-z5-06w	Before Yesterday	3402718	Official Music Video	4:00
BAND-MAID / Bubble (Official Music Video)	2019-01-15	https://youtu.be/T_PWQtc7zVw	Bubble	3111167	Official Music Video	4:12
BAND-MAID / After Life (Official Music Video)	2021-01-26	https://youtu.be/2MOvCkCqz_U	After Life	3006182	Official Music Video	3:29
BAND-MAID / What is justice? (Official Music Video) TVアニメ「桃源暗鬼」エンディング主題歌	2025-07-17	https://youtu.be/3kMIh0_Wkpk	What is justice?	2733584	Official Music Video	3:28
BAND-MAID / Warning! (Official Music Video)	2021-01-20	https://youtu.be/9yD3IqrLtPk	Warning!	2625721	Official Music Video	4:19
BAND-MAID / influencer (Official Music Video)	2022-09-20	https://youtu.be/e_bEf1C0spY	influencer	2440401	Official Music Video	3:26
BAND-MAID / Zen (Official Music Video)　MAPPAアニメ「全修。」オープニングテーマソング	2025-01-12	https://youtu.be/GZ9RRiy43j4	Zen	2383913	Official Music Video	3:38
BAND-MAID with The Warning / SHOW THEM (Official Music Video)	2024-08-06	https://youtu.be/LVl0mcEu1r8	Show Them	2327601	Official Music Video	3:22
BAND-MAID / start over (Official Music Video)	2018-07-03	https://youtu.be/iL5sRrSECQ0	start over	2314574	Official Music Video	3:36
BAND-MAID / 輪廻  "RINNE" (Official Music Video)	2019-11-05	https://youtu.be/CQ9dbEVgZcA	Rinne	2239648	Official Music Video	3:35
BAND-MAID / Play (Official Live Video)	2020-08-12	https://youtu.be/3LxX_t4vg7U	Play	2229664	Official Live Video	4:32
BAND-MAIKO / 祇園町 "Gion-cho" (Official Music Video)	2019-03-31	https://youtu.be/umSt7oMUMcs	Gion-Cho	2154080	Official Music Video	4:05
BAND-MAID / from now on (Official Music Video)	2022-11-24	https://youtu.be/a6ZSvmnkS00	from now on	2067134	Official Music Video	3:46
BAND-MAID / Shambles (Official Music Video)	2023-08-03	https://youtu.be/lf0mQOiu8J8	Shambles	2064404	Official Music Video	3:31
BAND-MAID / endless Story (Official Music Video)	2019-08-07	https://youtu.be/5_S4s8jZQ-A	endless Story	1939954	Official Music Video	4:03
Ready to Rock	2025-04-03	https://youtu.be/5uOdE0j4h1E	Ready to Rock	1839902	Audio	3:27
BAND-MAID / REAL EXISTENCE (Official Live Video)	2018-07-03	https://youtu.be/-qQnKILR5u0	REAL EXISTENCE	1778182	Official Live Video	4:13
Sense	2021-10-26	https://youtu.be/ss11rU97V2I	Sense	1774010	Audio	3:25
Choose me	2018-10-02	https://youtu.be/Imq5n_Cmd4o	Choose me	1738761	Audio	3:42
BAND-MAID / Protect You (Official Music Video)	2024-07-05	https://youtu.be/knnw6Mri9gc	Protect You	1731252	Official Music Video	3:19
BAND-MAID / Present Perfect (Official Music Video)	2025-10-21	https://youtu.be/yzSdgw-tdr0	Present Perfect	1723423	Official Music Video	3:53
BAND-MAID / Manners (Official Music Video)	2021-01-12	https://youtu.be/-FWuMx_pkH4	Manners	1695008	Official Music Video	3:56
BAND-MAID / Ready to Rock ×「ロックは淑女の嗜みでして」 Special Music Video (Anime Music Video)	2025-06-26	https://youtu.be/JegJ6cSsUgg	Ready to Rock	1687566	Anime Music Video	3:28
BAND-MAID / Choose me (Official Live Video)	2020-04-22	https://youtu.be/HcqitbXgigU	Choose me	1665421	Official Live Video	4:03
BAND-MAID / Manners, BLACK HOLE (Official Live Video) for J-LOD LIVE2	2021-07-26	https://youtu.be/iaf94nNSRGE	Manners; BLACK HOLE	1535161	Official Live Video	7:42
BAND-MAID / DICE, Different (Official Live Video) for J-LOD LIVE2	2021-10-23	https://youtu.be/h_RZwRbI1QI	DICE; Different	1424293	Official Live Video	7:43
BAND-MAID / HATE? (Official Live Video)	2024-03-06	https://youtu.be/yfORoQIqB3E	HATE?	1335303	Official Live Video	5:04
BAND-MAID / Forbidden tale (Official Music Video)	2024-10-04	https://youtu.be/EiknA3mWivA	Forbidden tale	1209086	Official Music Video	4:36
スリル	2018-10-02	https://youtu.be/46A5e-KzDOc	Thrill	1178366	Audio	4:06
BAND-MAID / Bestie (Official Music Video)	2024-05-01	https://youtu.be/gXjNsTS5bEY	Bestie	1177671	Official Music Video	3:44
BAND-MAID / about Us (Official Live Video)	2021-02-19	https://youtu.be/qicgVAxCYV8	about Us	1171230	Official Live Video	4:44
BAND-MAID / Puzzle (Official Live Video)	2023-04-04	https://youtu.be/zvuqmSQEnaA	Puzzle	1148669	Official Live Video	4:49
BAND-MAID / CROSS (Official Live Video)	2020-07-08	https://youtu.be/yQn4IMr56zY	CROSS	965612	Official Live Video	3:45
DICE	2018-10-02	https://youtu.be/HsvWNhIt6RY	DICE	962307	Audio	4:03
BAND-MAID / Memorable (Official Music Video)	2023-02-21	https://youtu.be/DQX8BTTsHHU	Memorable	948724	Official Music Video	3:35
BAND-MAID / Wonderland  (Official Live Video)	2020-07-08	https://youtu.be/x4hxLeHbqZo	Wonderland	934742	Official Live Video	3:55
BAND-MAID / NO GOD (Official Live Video)	2021-05-25	https://youtu.be/nAdWnIRjGak	NO GOD	894721	Official Live Video	4:15
BAND-MAID / Thrill (スリル)  (Official Live Video)	2021-05-10	https://youtu.be/XwRrpaSbaGk	Thrill	891660	Official Live Video	4:10
BAND-MAID / サヨナキドリ "Sayonakidori"  Acoustic Ver.  (Official Live Video)	2022-07-15	https://youtu.be/sGzAQigaL14	SAYONAKIDORI	868784	Official Live Video	5:15
BAND-MAID / The Dragon Cries (Official Music Video)	2020-02-12	https://youtu.be/skEkpogsmE0	The Dragon Cries	855693	Official Music Video	4:17
Unleash!!!!!	2022-08-09	https://youtu.be/g8aEQ2XR2UI	Unleash!!!!!	788575	Audio	3:10
BAND-MAID / Warning! (Official Live Video)	2021-05-01	https://youtu.be/Kojg8ULibeY	Warning!	763689	Official Live Video	4:25
BAND-MAID / endless Story (Official Live Video)	2024-03-20	https://youtu.be/Za1y-RRVd70	endless Story	758940	Official Live Video	7:00
After Life	2020-12-13	https://youtu.be/kkFIoq1TeA0	After Life	740829	Audio	3:24
BAND-MAID / カタルシス "Catharsis"  Acoustic Ver.  (Official Live Video)	2022-01-21	https://youtu.be/tx9h41gaNo0	Catharsis	739558	Official Live Video	3:41
Different	2020-12-01	https://youtu.be/yJIQKRywEY8	Different	734533	Audio	3:34
REAL EXISTENCE	2018-10-02	https://youtu.be/F0B-h1qWt2E	REAL EXISTENCE	733821	Audio	4:13
Zen	2025-01-12	https://youtu.be/XHuBR4nAjrE	Zen	725340	Audio	3:35
What is justice?	2025-07-17	https://youtu.be/vu2D3lzH7Y0	What is justice?	698801	Audio	3:23
BAND-MAID / Don't you tell ME (Official Live Video)	2024-02-22	https://youtu.be/SOj3qXBhiP4	Don't you tell ME	697467	Official Live Video	4:27
influencer	2022-09-20	https://youtu.be/Ly62PczTrZM	influencer	673021	Audio	3:24
Corallium	2021-10-26	https://youtu.be/aK9KruOd_Bw	Corallium	668219	Audio	3:56
DOMINATION	2018-10-02	https://youtu.be/yo9ZFz4v6Dk	DOMINATION	656769	Audio	3:52
Warning!	2021-01-12	https://youtu.be/swHdFvBN3yI	Warning!	652389	Audio	4:20
BAND-MAID / NO GOD (Official Live Video)	2023-04-21	https://youtu.be/iLF5zd0yl64	NO GOD	595686	Official Live Video	4:34
サヨナキドリ	2021-01-12	https://youtu.be/6mVaehjAo2k	SAYONAKIDORI	580313	Audio	4:34
BAND-MAID / What is justice? ×『桃源暗鬼』 Special Music Video (Anime Music Video) - Side of Momotaro -	2025-09-26	https://youtu.be/zbleEG_5e_4	What is justice?	566747	Anime Music Video	3:22
BAND-MAID / Shambles (Official Live Video)	2025-02-18	https://youtu.be/RmFYjTJRrQM	Shambles	562275	Official Live Video	5:15
BAND-MAID / Ready to Rock (Official Cover #RtR弾いてみた by KANAMI)  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-05-01	https://youtu.be/YEFugw_-jwo	Ready to Rock	534195	Official Cover	0:21
NO GOD	2021-01-12	https://youtu.be/-ZEF3shvlsU	NO GOD	518888	Audio	4:11
from now on	2022-09-20	https://youtu.be/MK0auns521Q	from now on	518161	Audio	3:47
BAND-MAID / Ready to Rock (Official Live Video) TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-08-19	https://youtu.be/5I6VV4HYnW8	Ready to Rock	505726	Official Live Video	4:10
Blooming	2019-12-05	https://youtu.be/3NJf8CSiUZs	Blooming	491361	Audio	3:50
BLACK HOLE	2021-01-12	https://youtu.be/17M5oBuccOY	BLACK HOLE	490391	Audio	3:06
alone	2018-10-02	https://youtu.be/mY0ZusGd-Fo	alone	490189	Audio	3:29
Shambles	2023-08-03	https://youtu.be/_UgN3Tb8Chc	Shambles	481423	Audio	3:22
火花	2021-10-26	https://youtu.be/uMQicabwqus	Hibana	477695	Audio	3:40
Don't you tell ME	2018-10-02	https://youtu.be/RnyseN3hrKM	Don't you tell ME	458700	Audio	3:11
BAND-MAID / Unleash!!!!! (Official Live Video)	2024-02-10	https://youtu.be/-i3N-WbZnJM	Unleash!!!!!	456138	Official Live Video	3:34
本懐	2021-01-12	https://youtu.be/ND5EeINq3F0	HONKAI	449613	Audio	3:17
the non-fiction days	2018-10-02	https://youtu.be/5N4ymEJu5Vc	the non-fiction days	445831	Audio	4:42
Don't Let Me Down	2018-10-02	https://youtu.be/kMF7sECmoP8	Don't let me down	436125	Audio	3:20
H-G-K	2021-01-12	https://youtu.be/VAFq8-Xnf_8	H-G-K	425844	Audio	3:08
I still seek revenge.	2021-01-12	https://youtu.be/H0xsEwtKUkQ	I still seek revenge.	411199	Audio	3:03
Puzzle	2018-10-02	https://youtu.be/tMyNS4YKS6A	Puzzle	409665	Audio	4:20
HATE?	2022-09-20	https://youtu.be/OJnKhVPDe4Q	HATE?	403776	Audio	3:38
Manners	2021-01-12	https://youtu.be/axYjQAMEZrs	Manners	395652	Audio	3:51
glory	2018-11-13	https://youtu.be/9TwXsbGFYnU	glory	382855	Audio	3:37
I'll	2022-09-20	https://youtu.be/S2kocC6yMik	I'll	368393	Audio	4:08
BAND-MAID / Ready to Rock (Official Live Video #shorts )  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-05-22	https://youtu.be/bQDrcpN6B-U	Ready to Rock	366909	Official Live Short	0:27
BAND-MAID / Sense (Official Live Video)	2023-03-21	https://youtu.be/p5Lo7t9Yzxw	Sense	365521	Official Live Video	3:34
I can't live without you.	2018-10-02	https://youtu.be/3C7hDUB0lgk	I can't live without you.	360623	Audio	3:50
DICE	2018-02-13	https://youtu.be/kJhR3YwIRyc	DICE	360245	Audio	4:07
Giovanni	2021-01-12	https://youtu.be/0JZkjDhxohM	Giovanni	349274	Audio	4:18
Daydreaming	2018-10-02	https://youtu.be/dw4mb6eWHu0	Daydreaming	348709	Audio	4:02
BAND-MAID / Ready to Rock (Official Teaser Video)  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-03-06	https://youtu.be/_jb5rtSUEik	Ready to Rock	342700	Official Teaser Video	0:19
BAND-MAID / Magie (Official Live Video)	2024-07-20	https://youtu.be/obXVrwIwk2k	Magie	337245	Official Live Video	3:10
SHOW THEM	2024-08-06	https://youtu.be/OPNcauboxkg	Show Them	329911	Audio	3:15
YOLO	2018-10-02	https://youtu.be/34MAbWeVE64	YOLO	326529	Audio	4:27
Balance	2022-09-20	https://youtu.be/TwrvDCcYuRE	Balance	323158	Audio	3:10
BAND-MAID / Don't you tell ME (Live at TREASURE05X 2024)	2024-09-08	https://youtu.be/vE7qTycXp3A	Don't you tell ME	322161	Official Live Short	0:43
Protect You	2024-07-04	https://youtu.be/ww7G7Vlm8hQ	Protect You	321736	Audio	3:13
Why Why Why	2021-01-12	https://youtu.be/bCHjyiie7MQ	Why Why Why	318524	Audio	3:38
Rock in me	2018-10-02	https://youtu.be/f0etXeLBvBw	Rock in me	310064	Audio	3:22
about Us	2021-02-03	https://youtu.be/AmjOY0lIwhI	about Us	301342	Audio	4:39
Bestie	2024-04-16	https://youtu.be/OvoR_Xt8mzM	Bestie	300292	Audio	3:36
CROSS	2018-10-02	https://youtu.be/W6odZxUQ84s	CROSS	295834	Audio	3:46
輪廻	2019-12-05	https://youtu.be/lWLEvPPYdS4	Rinne	293647	Audio	3:28
CHEMICAL REACTION	2021-01-12	https://youtu.be/42uOmIhh2Vs	CHEMICAL REACTION	286006	Audio	4:10
FREEDOM	2018-10-02	https://youtu.be/hSV25w66G7A	FREEDOM	281800	Audio	3:44
I can't live without you	2018-02-13	https://youtu.be/EuTmlA2DHis	I can't live without you.	279677	Audio	3:54
you.	2018-10-02	https://youtu.be/vHOBRzjHLMo	you.	276068	Audio	3:44
DOMINATION	2018-02-13	https://youtu.be/CWdo_Mn5Wo8	DOMINATION	272025	Audio	3:54
secret My lips	2018-10-02	https://youtu.be/gr7JL2C4zHQ	secret My lips	269539	Audio	4:12
endless Story	2019-12-05	https://youtu.be/72RuhiJznsI	endless Story	261980	Audio	3:45
anemone	2018-10-02	https://youtu.be/7RDR_gMAZok	anemone	256785	Audio	4:23
CLANG	2018-10-02	https://youtu.be/RNJxKL5Ylf4	CLANG	242529	Audio	4:11
Play	2018-02-13	https://youtu.be/oZWc7jk4GNs	Play	242061	Audio	3:24
モラトリアム	2018-10-02	https://youtu.be/WFrVI2eXlko	Moratorium	240786	Audio	4:16
FREEZER	2018-10-02	https://youtu.be/x7G0VEpWd_A	FREEZER	236345	Audio	3:18
One and only	2018-10-02	https://youtu.be/f7_VMSupSlA	One and only	234670	Audio	3:23
SION	2025-10-21	https://youtu.be/u9TrM7r9yOc	SION	229013	Audio	4:15
Shake That	2018-10-02	https://youtu.be/zZcZdQgs-ws	Shake That!!	228558	Audio	4:06
Play	2018-10-02	https://youtu.be/iH-EnjSUi3k	Play	224608	Audio	3:22
FATE	2018-10-02	https://youtu.be/ifUSCn9l61M	FATE	223705	Audio	4:32
Turn me on	2018-10-02	https://youtu.be/6RVy5UEhz4s	Turn me on	223255	Audio	4:16
Alive-or-Dead	2018-10-02	https://youtu.be/rZ1mpH8iXQc	Alive-or-Dead	221594	Audio	3:45
BAND-MAID / Ready to Rock (Official Live Video ver. 2 #shorts )  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-05-27	https://youtu.be/nbFF1513ptw	Ready to Rock	219676	Official Live Short	0:34
secret MAIKO lips	2019-04-02	https://youtu.be/V-1HH3saWX4	secret My lips	217163	Audio	4:25
Forbidden tale	2024-09-24	https://youtu.be/l29qDqsgORA	Forbidden tale	216987	Audio	4:35
Play	2018-10-02	https://youtu.be/A1h37zkAXck	Play	215528	Audio	3:20
The one	2024-09-24	https://youtu.be/FORNyqfjSmM	The one	210969	Audio	4:11
Shambles	2024-09-24	https://youtu.be/8eu3BQgB9OQ	Shambles	206913	Audio	3:22
Bubble	2019-01-15	https://youtu.be/3vHHv_dmhM8	Bubble	205684	Audio	3:47
Screaming	2018-10-02	https://youtu.be/JBgNx7OXtao	Screaming	201991	Audio	3:50
Dilemma	2019-12-05	https://youtu.be/aYet_nevCGs	Dilemma	201768	Audio	3:37
Magie	2024-09-24	https://youtu.be/p0OxjDTf_2A	Magie	198880	Audio	3:05
azure	2019-12-05	https://youtu.be/QZqKqAIdxak	azure	195020	Audio	2:50
Sense (TV Size Ver.)	2021-09-05	https://youtu.be/1kv3cfGlMQQ	Sense	192891	Audio	1:30
Rock in me	2018-02-13	https://youtu.be/TuWzx67ow3E	Rock in me	191428	Audio	3:25
Letters to you	2024-09-24	https://youtu.be/T7lS8NkIapQ	Letters to you	191210	Audio	3:09
FATE	2018-02-13	https://youtu.be/-ooj0u845AY	FATE	190172	Audio	4:35
Carry on living	2018-10-02	https://youtu.be/Rylf8-NaJuk	Carry on living	189882	Audio	3:33
Take me higher ! !	2018-10-02	https://youtu.be/SDrfTXRVpw4	Take me higher!!	186287	Audio	3:19
Spirit!!	2018-10-02	https://youtu.be/fxeDfNl1IfU	Spirit!!	186032	Audio	3:42
Turn me on	2018-02-13	https://youtu.be/IWVtcPssnok	Turn me on	184658	Audio	4:18
カタルシス	2019-12-05	https://youtu.be/N5zqCsBjfTU	Catharsis	184634	Audio	3:19
Liberal	2019-12-05	https://youtu.be/YwLqiLlCoKE	Liberal	184601	Audio	3:15
Before Yesterday	2018-10-02	https://youtu.be/xlUYvGjmOas	Before Yesterday	182326	Audio	3:45
Wonderland	2019-12-05	https://youtu.be/CewPL6F9XhM	Wonderland	182102	Audio	3:56
CLANG	2018-02-13	https://youtu.be/4mSEQ4Qae4Y	CLANG	180689	Audio	4:13
TAMAYA!	2024-09-24	https://youtu.be/vvpswsFRawM	TAMAYA!	179580	Audio	3:16
Daydreaming	2018-02-13	https://youtu.be/XyWA2xfDtyM	Daydreaming	178697	Audio	4:00
anemone	2018-02-13	https://youtu.be/uh0JDdCgZcs	anemone	177740	Audio	4:28
Mirage	2019-12-05	https://youtu.be/UBLKqA51hZs	Mirage	176857	Audio	3:58
PAGE	2019-12-05	https://youtu.be/nxCjEu4_7rU	PAGE	170948	Audio	4:18
BAND-MAID / Ready to Rock ×「ロックは淑女の嗜みでして」 Special Music Video short ver.2	2025-06-25	https://youtu.be/snND6wFvgx8	Ready to Rock	167388	Anime Music Video Short	0:37
One and only	2018-02-13	https://youtu.be/FkbKXUGMLvA	One and only	166208	Audio	3:23
Awkward	2018-10-02	https://youtu.be/9tf-bzo9bI0	Awkward	165673	Audio	3:33
start over	2018-10-02	https://youtu.be/HoXEk8Rcsyg	start over	165453	Audio	3:12
祇園町	2019-04-02	https://youtu.be/aJmR2e_RtWQ	Gion-Cho	164864	Audio	3:36
Protect You	2024-09-24	https://youtu.be/PDaRbNVVdCE	Protect You	164606	Audio	3:14
Memorable	2023-02-21	https://youtu.be/UZvceYLB75c	Memorable	161996	Audio	3:14
decided by myself	2018-10-02	https://youtu.be/aLYJuZT37i4	decided by myself	158466	Audio	3:55
Brightest star	2024-09-24	https://youtu.be/70uZ87dY2z0	Brightest Star	158324	Audio	3:18
So,What?	2018-10-02	https://youtu.be/di1PjUakkLw	So,What?	157759	Audio	3:49
flying high	2019-12-05	https://youtu.be/Q_qA4BtEV6c	flying high	157423	Audio	3:43
Go easy	2024-09-24	https://youtu.be/ZBbvy6Qx4wE	Go easy	157022	Audio	3:01
Corallium	2022-09-20	https://youtu.be/FywmRdKKSjg	Corallium	155766	Audio	3:55
Smile	2019-01-15	https://youtu.be/KzCUAJIMtu0	Smile	154613	Audio	3:58
BAND-MAID / Ready to Rock (Official Teaser Video MIKU KOBATO ver.)  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-04-06	https://youtu.be/bOjubutSnXo	Ready to Rock	153154	Official Teaser Video	0:24
BAND-MAID / Ready to Rock (Official Live #Shorts 2) TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-08-29	https://youtu.be/QWKfL5C7oRg	Ready to Rock	145491	Official Live Short	0:23
Toi et moi	2024-09-24	https://youtu.be/V9VDAoYf0A0	Toi et moi	143557	Audio	2:57
BAND-MAID / Ready to Rock (Official Teaser Video AKANE ver.)  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-04-05	https://youtu.be/50H_hmPh4dI	Ready to Rock	142157	Official Teaser Video	0:24
SHOW THEM	2024-09-24	https://youtu.be/42AfEN1SGZ4	Show Them	140421	Audio	3:15
At the drop of a hat	2019-12-05	https://youtu.be/pa-zUO820-0	At the drop of a hat	139955	Audio	4:20
Price of Pride	2018-10-02	https://youtu.be/wkzVmMRcC0U	Price of Pride	139665	Audio	3:28
Spirit!!	2018-02-13	https://youtu.be/2XR0CmgB1pI	Spirit!!	139559	Audio	3:44
Don't Apply The Brake	2018-10-02	https://youtu.be/vY6eYTG315A	Don't apply the brake	138089	Audio	3:21
TIME	2018-10-02	https://youtu.be/GEvS_V9bLDE	TIME	134053	Audio	3:30
ハニー	2018-10-02	https://youtu.be/_I70qgGN-6I	Honey	132151	Audio	3:25
Arcadia Girl	2018-10-02	https://youtu.be/TwMx4bJ30Tk	Arcadia Girl	127762	Audio	4:06
BAND-MAID / Ready to Rock (Official Live #Shorts) TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-08-27	https://youtu.be/0q8L_YvNZn0	Ready to Rock	125011	Official Live Short	0:25
Carry on living	2018-02-13	https://youtu.be/pKFBa8urc60	Carry on living	123774	Audio	3:35
SUPER SUNSHINE	2025-10-21	https://youtu.be/J_dd47xa31E	SUPER SUNSHINE	123026	Audio	3:52
BAND-MAID / Ready to Rock (Official Live Video ver. 3 #shorts )  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-05-29	https://youtu.be/lBkdxHmvyAA	Ready to Rock	122495	Official Live Short	0:44
Present Perfect	2025-10-21	https://youtu.be/IvDzDMJ5cL4	Present Perfect	121004	Audio	3:52
BAND-MAID / Forbidden tale (Official Teaser Video) MIKU KOBATO	2024-10-11	https://youtu.be/08dX4S0DWfg	Forbidden tale	119386	Official Teaser Video	0:32
Get to the top	2024-09-24	https://youtu.be/z0KTMEXJ1RE	Get to the top	117535	Audio	3:08
ORDER	2018-10-02	https://youtu.be/3J-TWdHqjoQ	ORDER	115423	Audio	3:23
OOPARTS	2018-10-02	https://youtu.be/YFLsVQ4iPxw	OOPARTS	115057	Audio	4:07
ハニー	2018-02-13	https://youtu.be/0ozhb_hN9JY	Honey	109457	Audio	3:25
Alive-or-Dead	2018-02-13	https://youtu.be/aNM9ovsfshc	Alive-or-Dead	106751	Audio	3:48
Unleash!!!!!	2022-09-20	https://youtu.be/uLTBtjZEGv0	Unleash!!!!!	106704	Audio	3:11
The Dragon Cries	2019-12-05	https://youtu.be/uHBnf1pXC2E	The Dragon Cries	106362	Audio	3:56
虎 and 虎	2019-04-02	https://youtu.be/-Z7S8Y_Eb4Q	One and only	97837	Audio	3:27
Lock and Load	2025-10-21	https://youtu.be/yBx52tnrqZw	Lock and Load	97377	Audio	3:21
BAND-MAID / What is justice? (Official Teaser Video) TVアニメ「桃源暗鬼」エンディング主題歌	2025-07-12	https://youtu.be/1kbZ5NsrdX4	What is justice?	96118	Official Teaser Video	0:10
BAND-MAID / Zen (Official Teaser Video)  MIKU KOBATO Ver.  MAPPAアニメ「全修。」オープニングテーマソング	2025-01-23	https://youtu.be/A1vhzIBfTGQ	Zen	96034	Official Teaser Video	0:27
matchless GUM	2018-10-02	https://youtu.be/ljt_YGfHQr4	matchless GUM	96027	Audio	3:12
YURAGU	2018-10-02	https://youtu.be/v2ZFMzL0QPA	YURAGU	95188	Audio	4:02
Beauty and the Beast	2018-10-02	https://youtu.be/u4L-I041jis	Beauty and the beast	94315	Audio	4:01
BAND-MAID / Ready to Rock ×「ロックは淑女の嗜みでして」 Special Music Video short ver.1	2025-06-24	https://youtu.be/anA8iIVMTHw	Ready to Rock	91748	Anime Music Video Short	0:25
Dilly-Dally	2025-10-21	https://youtu.be/7gE2cJFw_xg	Dilly-Dally	85315	Audio	2:49
LOOK AT ME	2018-10-02	https://youtu.be/xOqnN00feSc	LOOK AT ME	85155	Audio	3:59
BAND-MAID / Ready to Rock (Official Teaser Video KANAMI ver.)  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-04-03	https://youtu.be/ua-_klKlbdY	Ready to Rock	85059	Official Teaser Video	0:24
BAND-MAID / Zen (Official Teaser Video)  KANAMI Ver.  MAPPAアニメ「全修。」オープニングテーマソング	2025-01-19	https://youtu.be/owIg4MUVG8M	Zen	83448	Official Teaser Video	0:27
Sense	2022-09-20	https://youtu.be/eAX5_kypXp4	Sense	83299	Audio	3:25
Unfair game	2018-10-02	https://youtu.be/wlDCBVsRi2g	Unfair game	81211	Audio	3:31
hide-and-seek	2019-01-15	https://youtu.be/VQgMoXzcgaM	hide-and-seek	81096	Audio	3:01
BAND-MAID / What is justice? (Official Teaser Video MIKU KOBATO ver.) TVアニメ「桃源暗鬼」エンディング主題歌	2025-07-18	https://youtu.be/KN5arIuiRp8	What is justice?	77819	Official Teaser Video	0:27
BAND-MAID / Ready to Rock (Official Teaser Video KANAMI ver.2)  TVアニメ「ロックは淑女の嗜みでして」オープニングテーマソング	2025-04-17	https://youtu.be/XqGukTfP8n8	Ready to Rock	76573	Official Teaser Video	0:12
Bestie	2024-09-24	https://youtu.be/eLQCEiBUthE	Bestie	75511	Audio	3:36
